Nombre,Precio,CantidadEnStock
Producto 1,95,89,37
Producto 2,30,59
Producto 3,72,75,80
Producto 4,18,95,99
Producto 5,56,77,11
Producto 6,68,62,88
Producto 7,46,83,75
Producto 8,16,69,43
Producto 9,92,61,97
Producto 10,23,41,71
Producto 11,55,52,58
Producto 12,42,08,49
Producto 13,21,59,44
Producto 14,54,94,11
Producto 15,54,23,53
Producto 16,83,79,17
Producto 17,95,15,76
Producto 18,26,7,15
Producto 19,10,79,52
Producto 20,17,87,29
Producto 21,40,19,18
Producto 22,36,77,59
Producto 23,42,53,42
Producto 24,66,54,58
Producto 25,49,51,57
Producto 26,92,62,73
Producto 27,79,74,56
Producto 28,21,67,25
Producto 29,26,53,86
Producto 30,92,76,87
Producto 31,35,67,22
Producto 32,29,66,18
Producto 33,96,93,76
Producto 34,29,58,51
Producto 35,68,63,21
Producto 36,76,65,21
Producto 37,33,13,34
Producto 38,44,04,84
Producto 39,91,74,21
Producto 40,60,72,80
Producto 41,76,29,75
Producto 42,33,66,14
Producto 43,62,11,64
Producto 44,58,88,52
Producto 45,32,09,89
Producto 46,61,53,21
Producto 47,94,71,73
Producto 48,71,04,37
Producto 49,80,01,15
Producto 50,80,25,73
Producto 51,25,06,31
Producto 52,43,74,8
Producto 53,39,13,12
Producto 54,88,61,74
Producto 55,40,16,55
Producto 56,73,33,38
Producto 57,76,78,67
Producto 58,43,96,36
Producto 59,74,4,98
Producto 60,75,95,18
Producto 61,89,6,94
Producto 62,38,46,17
Producto 63,20,89,21
Producto 64,32,22,74
Producto 65,16,57,17
Producto 66,34,65,98
Producto 67,52,83,42
Producto 68,74,7,88
Producto 69,84,27,35
Producto 70,52,13,10
Producto 71,37,15,14
Producto 72,61,01,84
Producto 73,34,15,94
Producto 74,60,92,73
Producto 75,71,27,45
Producto 76,58,35,34
Producto 77,16,75,43
Producto 78,65,39,13
Producto 79,64,8,2
Producto 80,12,52,69
Producto 81,74,92,33
Producto 82,25,4,69
Producto 83,24,4,32
Producto 84,50,49,79
Producto 85,13,29,97
Producto 86,58,46,71
Producto 87,39,94,23
Producto 88,17,91,37
Producto 89,91,32,74
Producto 90,26,6,6
Producto 91,96,35,60
Producto 92,53,86,56
Producto 93,73,7,77
Producto 94,40,17,95
Producto 95,69,81,96
Producto 96,86,51,63
Producto 97,39,76,69
Producto 98,76,19,20
Producto 99,51,03,6
Producto 100,16,33,68
Producto 101,48,99,61
Producto 102,17,9,62
Producto 103,13,46,22
Producto 104,39,3,88
Producto 105,63,39,7
Producto 106,35,98,95
Producto 107,80,55,21
Producto 108,99,54,96
Producto 109,22,27,62
Producto 110,61,79,56
Producto 111,53,02,79
Producto 112,80,1,24
Producto 113,49,34,10
Producto 114,54,53,50
Producto 115,23,96,31
Producto 116,63,89,40
Producto 117,41,08,14
Producto 118,37,56,66
Producto 119,46,2,67
Producto 120,30,26,48
Producto 121,26,9,8
Producto 122,16,61,37
Producto 123,20,91,74
Producto 124,90,68,50
Producto 125,31,41,2
Producto 126,13,98,81
Producto 127,27,23,78
Producto 128,37,47,63
Producto 129,75,82,93
Producto 130,34,73
Producto 131,38,74,39
Producto 132,35,63,93
Producto 133,79,65,38
Producto 134,45,35,51
Producto 135,94,89,35
Producto 136,63,86,96
Producto 137,87,55,17
Producto 138,80,25,12
Producto 139,16,33,8
Producto 140,91,19,93
Producto 141,26,38,76
Producto 142,79,08,38
Producto 143,91,78,52
Producto 144,89,48,18
Producto 145,30,92,73
Producto 146,50,87,17
Producto 147,70,53,37
Producto 148,20,91,63
Producto 149,25,82,30
Producto 150,26,66,99
Producto 151,54,29,15
Producto 152,76,11,25
Producto 153,71,77,35
Producto 154,26,21,3
Producto 155,83,72,86
Producto 156,21,65,94
Producto 157,82,03,42
Producto 158,81,77,28
Producto 159,14,17,68
Producto 160,32,6,81
Producto 161,81,72,6
Producto 162,50,87,6
Producto 163,65,66,79
Producto 164,29,66,32
Producto 165,43,33,48
Producto 166,43,29,30
Producto 167,83,08,74
Producto 168,45,25,96
Producto 169,51,78,49
Producto 170,53,63,67
Producto 171,13,67,27
Producto 172,68,19,2
Producto 173,53,5,88
Producto 174,81,63,67
Producto 175,86,4,87
Producto 176,72,6,27
Producto 177,41,74,77
Producto 178,78,78,77
Producto 179,79,36,49
Producto 180,49,12,100
Producto 181,50,06,43
Producto 182,77,77,71
Producto 183,41,83,6
Producto 184,87,06,85
Producto 185,25,04,41
Producto 186,17,48,28
Producto 187,94,78,82
Producto 188,86,76,38
